persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,2,1.861,100.0,213f8817-5007-4d5b-901a-c9d7896167f5,Eastbound,24,2026-01-29T02:20:08.291836,2026-01-29T02:23:11.425800,183.133964
2,CAM001,15,1.834,100.0,213f8817-5007-4d5b-901a-c9d7896167f5,Eastbound,26,2026-01-29T02:20:08.303841,2026-01-29T02:23:11.440801,183.13696
3,CAM001,4,1.809,100.0,213f8817-5007-4d5b-901a-c9d7896167f5,Eastbound,27,2026-01-29T02:20:08.309842,2026-01-29T02:23:11.427803,183.117961
4,CAM001,16,1.753,100.0,213f8817-5007-4d5b-901a-c9d7896167f5,Eastbound,25,2026-01-29T02:20:08.324843,2026-01-29T02:23:11.443801,183.118958
5,CAM001,7,1.828,100.0,213f8817-5007-4d5b-901a-c9d7896167f5,Eastbound,23,2026-01-29T02:20:08.331845,2026-01-29T02:23:11.431801,183.099956
6,CAM001,11,1.797,100.0,213f8817-5007-4d5b-901a-c9d7896167f5,Eastbound,19,2026-01-29T02:20:08.338863,2026-01-29T02:23:11.438801,183.099938
7,CAM001,8,1.824,100.0,213f8817-5007-4d5b-901a-c9d7896167f5,Eastbound,12,2026-01-29T02:21:12.822363,2026-01-29T02:23:11.433802,118.611439
8,CAM001,5,0.744,100.0,213f8817-5007-4d5b-901a-c9d7896167f5,Eastbound,2,2026-01-29T02:23:00.910802,2026-01-29T02:23:11.429801,10.518999
