persistent_id,cameras,behavior_types,max_severity,avg_confidence,first_behavior,last_behavior,total_behaviors,loitering_count
1,CAM002,loitering,medium,0.51,2026-01-28T10:13:03.549610,2026-01-28T10:13:03.549610,1,1
2,CAM002,loitering,medium,0.88,2026-01-28T10:24:31.715623,2026-01-28T10:24:31.715623,1,1
5,CAM002,loitering,medium,0.73,2026-01-28T10:28:11.465843,2026-01-28T10:28:11.465843,1,1
7,CAM002,loitering,medium,0.89,2026-01-28T10:41:56.852812,2026-01-28T10:41:56.852812,1,1
8,CAM002,loitering,medium,0.65,2026-01-28T10:39:03.363836,2026-01-28T10:39:03.363836,1,1
