persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,174,0.805,100.0,4cf6c32a-9164-424b-950e-2ca11f695664,"Eastbound,Zone 1",205,2025-11-10T12:03:33.019364,2025-11-10T12:15:44.293153,731.273789
2,CAM001,195,0.787,100.0,4cf6c32a-9164-424b-950e-2ca11f695664,"Eastbound,Zone 1",37,2025-11-10T12:03:36.655419,2025-11-10T12:19:10.455511,933.800092
4,CAM001,128,0.822,100.0,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2,2025-11-10T12:11:29.416242,2025-11-10T12:11:30.501329,1.085087
5,CAM001,204,0.801,100.0,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,47,2025-11-10T12:15:58.615952,2025-11-10T12:20:26.198105,267.582153
6,CAM001,224,0.824,100.0,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,135,2025-11-10T12:35:23.580840,2025-11-10T12:38:32.655798,189.074958
