persistent_id,cameras,behavior_types,max_severity,avg_confidence,first_behavior,last_behavior,total_behaviors,loitering_count
1,CAM001,loitering,medium,0.9,2025-11-18T12:35:51.238811,2025-11-18T12:35:51.238811,1,1
3,CAM001,loitering,medium,0.84,2025-11-18T12:28:30.976034,2025-11-18T12:28:30.976034,1,1
5,CAM001,loitering,medium,0.94,2025-11-18T12:28:30.939894,2025-11-18T12:28:30.939894,1,1
