persistent_id,cameras,behavior_types,max_severity,avg_confidence,first_behavior,last_behavior,total_behaviors,crowd_formation_count
1,CAM002,crowd_formation,medium,0.83,2026-05-07T18:57:09.329215,2026-05-07T18:57:09.329215,1,1
7,CAM002,crowd_formation,medium,0.67,2026-05-07T18:58:33.725890,2026-05-07T18:58:33.725890,1,1
