persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,12,1.95,100.0,"0991c918-4c2b-46dc-ab02-0f2ab62cc9c0,30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,b697950f-f5dc-4b08-97a7-da48c709fa2b,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",194,2026-05-07T13:45:42.108158,2026-05-07T14:45:38.488459,3596.380301
6,CAM001,9,1.979,99.51,"0991c918-4c2b-46dc-ab02-0f2ab62cc9c0,30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,b697950f-f5dc-4b08-97a7-da48c709fa2b,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",204,2026-05-07T13:45:42.112162,2026-05-07T14:45:38.486462,3596.3743
5,CAM001,25,1.978,100.0,"0991c918-4c2b-46dc-ab02-0f2ab62cc9c0,30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,b697950f-f5dc-4b08-97a7-da48c709fa2b,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",177,2026-05-07T13:45:42.115160,2026-05-07T14:45:38.495466,3596.380306
3,CAM001,8,1.93,100.0,"0991c918-4c2b-46dc-ab02-0f2ab62cc9c0,30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,b697950f-f5dc-4b08-97a7-da48c709fa2b,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",173,2026-05-07T13:45:42.118160,2026-05-07T14:44:22.925345,3520.807185
4,CAM001,19,1.966,100.0,"0991c918-4c2b-46dc-ab02-0f2ab62cc9c0,30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,b697950f-f5dc-4b08-97a7-da48c709fa2b,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",200,2026-05-07T13:45:42.121158,2026-05-07T14:45:38.490460,3596.369302
8,CAM001,23,1.956,100.0,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,b697950f-f5dc-4b08-97a7-da48c709fa2b,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",143,2026-05-07T13:45:42.124158,2026-05-07T14:45:38.492464,3596.368306
9,CAM001,5,1.89,100.0,"3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,b697950f-f5dc-4b08-97a7-da48c709fa2b,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",44,2026-05-07T13:45:46.432686,2026-05-07T14:45:38.483461,3592.050775
2,CAM001,19,1.968,100.0,"0991c918-4c2b-46dc-ab02-0f2ab62cc9c0,30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",198,2026-05-07T14:06:05.224987,2026-05-07T14:45:19.670326,2354.445339
7,CAM001,3,1.977,100.0,"0991c918-4c2b-46dc-ab02-0f2ab62cc9c0,30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,d4e4cabc-0db4-42c0-865e-5304defddbb6",Eastbound,181,2026-05-07T14:06:05.228991,2026-05-07T14:45:38.480459,2373.251468
10,CAM001,23,1.776,100.0,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,Eastbound,7,2026-05-07T14:44:52.855026,2026-05-07T14:45:24.757439,31.902413
