persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM002,119,1.91,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,40c38846-4a60-4d67-be6e-be029716b4cd,5073a8a2-cff6-4237-8104-d771fd7cc0f0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,306,2026-05-06T00:12:32.771744,2026-05-06T00:58:28.341639,2755.569895
2,CAM002,125,1.772,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,40c38846-4a60-4d67-be6e-be029716b4cd,5073a8a2-cff6-4237-8104-d771fd7cc0f0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,42,2026-05-06T00:21:31.360852,2026-05-06T00:58:37.548783,2226.187931
3,CAM002,93,1.762,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,5073a8a2-cff6-4237-8104-d771fd7cc0f0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,55,2026-05-06T00:21:59.850066,2026-05-06T00:57:17.640858,2117.790792
4,CAM002,128,1.87,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,5073a8a2-cff6-4237-8104-d771fd7cc0f0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,272,2026-05-06T00:22:26.596931,2026-05-06T00:58:44.703115,2178.106184
5,CAM002,128,1.931,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,5073a8a2-cff6-4237-8104-d771fd7cc0f0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,185,2026-05-06T00:22:45.079516,2026-05-06T00:58:41.901697,2156.822181
6,CAM002,104,1.822,100.0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1,Eastbound,12,2026-05-06T00:42:11.725240,2026-05-06T00:42:32.847590,21.12235
