persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
11,CAM001,134,1.711,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,78,2026-01-28T18:46:50.979728,2026-01-28T18:59:16.804336,745.824608
12,CAM001,170,1.853,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,115,2026-01-28T18:46:50.982726,2026-01-28T18:59:49.358853,778.376127
13,CAM001,171,1.667,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,98,2026-01-28T18:46:50.984724,2026-01-28T18:59:49.360853,778.376129
14,CAM001,180,1.581,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,99,2026-01-28T18:46:50.990777,2026-01-28T18:59:49.362025,778.371248
15,CAM001,181,1.728,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,82,2026-01-28T18:46:56.450603,2026-01-28T18:59:49.363025,772.912422
16,CAM001,180,1.891,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,129,2026-01-28T18:47:01.397233,2026-01-28T18:59:44.839725,763.442492
17,CAM001,141,1.975,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,140,2026-01-28T18:47:01.398234,2026-01-28T18:59:49.356853,767.958619
18,CAM001,134,1.691,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,121,2026-01-28T18:47:26.274714,2026-01-28T18:59:49.353961,743.079247
