persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM002,5,1.969,100.0,f089afa5-b9f1-44d5-bbc9-66820e2ea531,Eastbound,76,2026-04-18T07:14:22.576316,2026-04-18T07:18:51.900568,269.324252
2,CAM002,60,1.856,100.0,f089afa5-b9f1-44d5-bbc9-66820e2ea531,Eastbound,49,2026-04-18T07:14:22.583111,2026-04-18T07:18:51.906569,269.323458
3,CAM002,30,1.967,100.0,f089afa5-b9f1-44d5-bbc9-66820e2ea531,Eastbound,82,2026-04-18T07:14:33.856549,2026-04-18T07:18:51.903571,258.047022
4,CAM002,52,1.905,100.0,f089afa5-b9f1-44d5-bbc9-66820e2ea531,Eastbound,33,2026-04-18T07:15:26.144067,2026-04-18T07:18:44.731395,198.587328
