persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
3,CAM001,260,1.962,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,571,2025-11-18T14:21:31.190987,2025-11-18T15:18:34.935848,3423.744861
7,CAM001,245,1.884,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,384,2025-11-18T14:21:31.194889,2025-11-18T15:21:26.396147,3595.201258
5,CAM001,264,1.897,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,328,2025-11-18T14:21:31.198894,2025-11-18T15:21:26.404212,3595.205318
4,CAM001,260,1.933,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,546,2025-11-18T14:21:31.202705,2025-11-18T15:21:26.402266,3595.199561
8,CAM001,141,1.959,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,527,2025-11-18T14:21:31.207587,2025-11-18T15:21:26.392105,3595.184518
1,CAM001,250,1.853,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,453,2025-11-18T14:21:31.212077,2025-11-18T15:21:26.398363,3595.186286
10,CAM001,226,1.926,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,562,2025-11-18T14:21:31.215942,2025-11-18T15:21:26.395040,3595.179098
9,CAM001,258,1.956,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,540,2025-11-18T14:21:31.221405,2025-11-18T15:21:26.400319,3595.178914
6,CAM001,259,1.953,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,387,2025-11-18T14:21:36.125339,2025-11-18T15:17:40.867268,3364.741929
2,CAM001,226,1.979,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,775,2025-11-18T14:22:00.757452,2025-11-18T15:21:01.457781,3540.700329
11,CAM001,121,1.918,100.0,34bbee35-39af-49b9-ab65-c313c776cd74,Eastbound,5,2025-11-18T14:22:32.657747,2025-11-18T14:22:52.415744,19.757997
