id,persistent_id,camera_id,track_id,confidence,frame_id,in_geo_fence,fence_id,fence_name,timestamp,bbox_x,bbox_y,bbox_width,bbox_height
15077,6,CAM001,220,0.8236526250839233,14580,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:41.844622,249.0,150.0,416.0,330.0
15076,6,CAM001,220,0.7722364068031311,14575,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:40.789317,241.0,177.0,393.0,303.0
15075,6,CAM001,220,0.7664585709571838,14570,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:39.750328,238.0,169.0,400.0,311.0
15074,6,CAM001,220,0.7765204310417175,14565,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:38.736721,229.0,161.0,405.0,319.0
15073,6,CAM001,220,0.7943148016929626,14560,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:37.686402,216.0,145.0,427.0,335.0
15072,6,CAM001,220,0.7913227081298828,14555,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:36.660684,224.0,156.0,412.0,324.0
15071,6,CAM001,220,0.7903875708580017,14550,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:35.632433,222.0,150.0,421.0,330.0
15070,6,CAM001,220,0.8333389163017273,14545,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:34.649195,239.0,167.0,396.0,312.0
15069,6,CAM001,220,0.8202435970306396,14540,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:33.634637,247.0,165.0,400.0,315.0
15068,6,CAM001,220,0.8180533051490784,14535,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:32.612652,236.0,167.0,405.0,312.0
15067,6,CAM001,220,0.8,14525,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:30.726485,235.0,174.0,398.0,306.0
15066,6,CAM001,220,0.7026078701019287,14520,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:29.676370,227.0,174.0,398.0,306.0
15065,6,CAM001,220,0.7188563942909241,14515,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:28.679021,217.0,176.0,397.0,304.0
15064,6,CAM001,219,0.8,14475,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:21.341129,236.0,163.0,405.0,316.0
15063,6,CAM001,219,0.7375890016555786,14470,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:20.346078,243.0,173.0,393.0,306.0
15062,6,CAM001,219,0.8209459781646729,14465,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:19.304639,255.0,192.0,379.0,288.0
15061,6,CAM001,219,0.8223888278007507,14460,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:18.244995,264.0,196.0,373.0,284.0
15060,6,CAM001,219,0.8150541186332703,14455,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:17.221389,270.0,202.0,361.0,278.0
15059,6,CAM001,219,0.8164465427398682,14450,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:16.175196,272.0,201.0,349.0,279.0
15058,6,CAM001,219,0.7715667486190796,14445,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:15.141751,258.0,167.0,375.0,313.0
15057,6,CAM001,219,0.8508020043373108,14440,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:14.083166,229.0,127.0,428.0,352.0
15056,6,CAM001,219,0.8353568911552429,14435,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:13.024410,215.0,135.0,430.0,343.0
15055,6,CAM001,219,0.8260093927383423,14430,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:12.003346,211.0,140.0,430.0,338.0
15054,6,CAM001,219,0.8406791687011719,14425,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:10.992554,217.0,143.0,427.0,336.0
15053,6,CAM001,219,0.8535674214363098,14420,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:09.988202,215.0,142.0,430.0,337.0
15052,6,CAM001,219,0.8361319899559021,14415,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:08.945358,210.0,141.0,435.0,339.0
15051,6,CAM001,219,0.8281266093254089,14410,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:07.935723,210.0,145.0,434.0,335.0
15050,6,CAM001,219,0.8242361545562744,14405,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:06.882360,226.0,157.0,420.0,322.0
15049,6,CAM001,219,0.8271339535713196,14400,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:05.819465,223.0,168.0,409.0,311.0
15048,6,CAM001,219,0.8187709450721741,14395,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:04.812931,228.0,167.0,402.0,312.0
15047,6,CAM001,219,0.8273873925209045,14390,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:03.798258,234.0,168.0,390.0,312.0
15046,6,CAM001,219,0.8111074566841125,14385,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:02.808755,232.0,145.0,404.0,335.0
15045,6,CAM001,219,0.8677273988723755,14380,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:01.752587,239.0,148.0,396.0,332.0
15044,6,CAM001,219,0.863743007183075,14375,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:37:00.726214,243.0,145.0,396.0,335.0
15043,6,CAM001,219,0.8812079429626465,14370,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:59.697495,230.0,132.0,410.0,347.0
15042,6,CAM001,219,0.839798092842102,14365,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:36:58.675816,229.0,126.0,417.0,353.0
