persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,223,1.92,100.0,"3544afcc-9e62-41bf-ad6d-8682988eb4d9,53602e1b-7f7d-4943-9301-da9eaf1b3382,aef8c3aa-95d0-461d-b681-d1c385946e2e,b3eeda80-56ea-4e65-ab91-517e1395300a",Westbound,601,2026-05-06T00:12:49.306505,2026-05-06T00:58:41.295489,2751.988984
2,CAM001,223,1.962,100.0,"3544afcc-9e62-41bf-ad6d-8682988eb4d9,53602e1b-7f7d-4943-9301-da9eaf1b3382,aef8c3aa-95d0-461d-b681-d1c385946e2e,b3eeda80-56ea-4e65-ab91-517e1395300a",Westbound,833,2026-05-06T00:13:02.079414,2026-05-06T00:58:36.335760,2734.256346
3,CAM001,229,1.949,100.0,"3544afcc-9e62-41bf-ad6d-8682988eb4d9,53602e1b-7f7d-4943-9301-da9eaf1b3382,aef8c3aa-95d0-461d-b681-d1c385946e2e,b3eeda80-56ea-4e65-ab91-517e1395300a",Westbound,703,2026-05-06T00:13:12.004306,2026-05-06T00:58:44.549060,2732.544754
4,CAM001,220,1.936,100.0,"3544afcc-9e62-41bf-ad6d-8682988eb4d9,aef8c3aa-95d0-461d-b681-d1c385946e2e,b3eeda80-56ea-4e65-ab91-517e1395300a",Westbound,547,2026-05-06T00:13:42.841286,2026-05-06T00:58:35.888289,2693.047003
5,CAM001,231,1.933,100.0,"3544afcc-9e62-41bf-ad6d-8682988eb4d9,aef8c3aa-95d0-461d-b681-d1c385946e2e,b3eeda80-56ea-4e65-ab91-517e1395300a",Westbound,288,2026-05-06T00:20:00.080163,2026-05-06T00:58:44.554069,2324.473906
6,CAM001,242,1.98,100.0,3544afcc-9e62-41bf-ad6d-8682988eb4d9,Westbound,222,2026-05-06T00:38:18.374209,2026-05-06T00:45:01.192658,402.818449
