persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM002,120,1.953,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,325,2026-01-28T10:05:22.297455,2026-01-28T10:46:42.055036,2479.757581
2,CAM002,125,1.877,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,299,2026-01-28T10:05:22.303455,2026-01-28T10:40:27.650186,2105.346731
3,CAM002,132,1.865,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,311,2026-01-28T10:05:22.307458,2026-01-28T10:46:42.065040,2479.757582
4,CAM002,149,1.874,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,297,2026-01-28T10:05:22.311457,2026-01-28T10:45:22.428102,2400.116645
5,CAM002,146,1.868,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,300,2026-01-28T10:05:47.602576,2026-01-28T10:42:33.229079,2205.626503
6,CAM002,125,1.878,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,257,2026-01-28T10:07:05.186288,2026-01-28T10:46:42.060040,2376.873752
7,CAM002,126,1.92,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,308,2026-01-28T10:09:33.030024,2026-01-28T10:46:42.062040,2229.032016
8,CAM002,132,1.883,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,176,2026-01-28T10:18:19.505805,2026-01-28T10:46:16.179114,1676.673309
9,CAM002,151,1.856,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,76,2026-01-28T10:18:47.678213,2026-01-28T10:46:42.066555,1674.388342
10,CAM002,120,1.931,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,28,2026-01-28T10:33:37.253928,2026-01-28T10:35:34.595665,117.341737 
