persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,27,0.835,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,27,2025-11-06T21:47:35.645997,2025-11-06T21:48:32.457205,56.811208
2,CAM001,30,0.762,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,1,2025-11-06T21:48:35.205128,2025-11-06T21:48:35.205128,0.0
3,CAM001,85,0.824,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,28,2025-11-06T21:48:44.317703,2025-11-06T21:57:09.682809,505.365106
4,CAM001,37,0.8,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,2,2025-11-06T21:49:52.703419,2025-11-06T21:49:53.679339,0.97592
5,CAM001,56,0.847,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,5,2025-11-06T21:54:42.105422,2025-11-06T21:54:46.035767,3.930345
6,CAM001,117,0.804,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,23,2025-11-06T21:54:51.720294,2025-11-06T21:59:39.539165,287.818871
7,CAM001,65,0.786,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,2,2025-11-06T21:55:02.946979,2025-11-06T21:55:04.030260,1.083281
8,CAM001,120,0.837,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,123,2025-11-06T21:55:39.086451,2025-11-06T21:59:50.393236,251.306785
9,CAM001,75,0.829,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,5,2025-11-06T21:56:20.649528,2025-11-06T21:56:24.503754,3.854226
10,CAM001,86,0.857,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,2,2025-11-06T21:57:25.918325,2025-11-06T21:57:26.915514,0.997189
11,CAM001,90,0.814,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,6,2025-11-06T21:57:33.251099,2025-11-06T21:57:37.879733,4.628634
12,CAM001,112,0.789,100.0,940b88b4-b3f3-48f9-b246-21278d1d99de,eastbound,2,2025-11-06T21:59:23.012382,2025-11-06T21:59:23.863168,0.850786
