persistent_id,cameras,behavior_types,max_severity,avg_confidence,first_behavior,last_behavior,total_behaviors,crowd_formation_count,loitering_count
7,CAM002,"crowd_formation,loitering",medium,0.69,2026-05-07T18:58:33.725890,2026-05-07T19:06:27.318052,4,3,1
1,CAM002,"crowd_formation,loitering",medium,0.743,2026-05-07T18:57:09.329215,2026-05-07T19:04:27.391515,3,2,1
9,CAM002,crowd_formation,medium,0.83,2026-05-07T19:07:54.040466,2026-05-07T19:08:54.109319,2,2,0
3,CAM002,"crowd_formation,loitering",medium,0.65,2026-05-07T19:02:16.517186,2026-05-07T19:08:38.751833,2,1,1
5,CAM002,loitering,medium,0.51,2026-05-07T19:04:27.227502,2026-05-07T19:04:27.227502,1,0,1
2,CAM002,loitering,medium,0.58,2026-05-07T19:05:06.945382,2026-05-07T19:05:06.945382,1,0,1
6,CAM002,crowd_formation,medium,0.83,2026-05-07T19:00:58.206722,2026-05-07T19:00:58.206722,1,1,0
8,CAM002,loitering,medium,0.53,2026-05-07T19:04:27.316603,2026-05-07T19:04:27.316603,1,0,1
