persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,16,1.948,99.6,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,c01b5105-0ea0-4707-84fe-aacad6ee4ab0,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",250,2026-05-07T14:22:02.343498,2026-05-07T15:10:31.679031,2909.335533
2,CAM001,5,1.943,100.0,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,c01b5105-0ea0-4707-84fe-aacad6ee4ab0,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",233,2026-05-07T14:22:02.350498,2026-05-07T15:11:21.991346,2959.640848
3,CAM001,23,1.947,100.0,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,c01b5105-0ea0-4707-84fe-aacad6ee4ab0,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",236,2026-05-07T14:22:02.353500,2026-05-07T15:11:22.009425,2959.655925
4,CAM001,15,1.974,99.65,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,c01b5105-0ea0-4707-84fe-aacad6ee4ab0,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",282,2026-05-07T14:22:02.357499,2026-05-07T15:11:21.998870,2959.641371
5,CAM001,13,1.977,100.0,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,c01b5105-0ea0-4707-84fe-aacad6ee4ab0,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",240,2026-05-07T14:22:02.360500,2026-05-07T15:11:21.995850,2959.63535
6,CAM001,17,1.981,99.57,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,c01b5105-0ea0-4707-84fe-aacad6ee4ab0,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",234,2026-05-07T14:22:09.015384,2026-05-07T15:11:22.002872,2952.987488
7,CAM001,20,1.985,100.0,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,c01b5105-0ea0-4707-84fe-aacad6ee4ab0,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",257,2026-05-07T14:22:20.202285,2026-05-07T15:11:22.006414,2941.804129
8,CAM001,5,1.951,100.0,"30393b46-92c0-4b7a-ab8e-511e6ad0bfcf,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",175,2026-05-07T14:22:47.247862,2026-05-07T15:07:16.981761,2669.733899
9,CAM001,18,1.884,100.0,"3238e4ca-4a84-4d89-a22b-2429b5bd40ea,4da36fbb-bff2-4854-9563-64d61f08704c,583ee9e9-7611-4500-909c-35843aae7a4c,d4e4cabc-0db4-42c0-865e-5304defddbb6","Eastbound,Zone 1",48,2026-05-07T14:22:47.257859,2026-05-07T15:06:38.909419,2631.65156
10,CAM001,23,1.776,100.0,3238e4ca-4a84-4d89-a22b-2429b5bd40ea,Eastbound,7,2026-05-07T14:44:52.855026,2026-05-07T14:45:24.757439,31.902413
