persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,115,1.901,100.0,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,356,2026-05-14T09:37:12.553734,2026-05-14T09:59:54.912993,1362.359259
2,CAM001,120,1.886,100.0,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,354,2026-05-14T09:37:12.560743,2026-05-14T09:59:54.915004,1362.354261
3,CAM001,67,1.685,100.0,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,254,2026-05-14T09:37:12.565265,2026-05-14T09:59:54.906485,1362.34122
4,CAM001,71,1.861,100.0,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,395,2026-05-14T09:37:12.569264,2026-05-14T09:59:54.910483,1362.341219
6,CAM001,121,1.849,100.0,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,68,2026-05-14T09:39:19.834943,2026-05-14T09:55:08.878065,949.043122
5,CAM001,128,1.775,100.0,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,149,2026-05-14T09:47:36.213043,2026-05-14T09:59:41.893929,725.680886
7,CAM001,137,1.655,100.0,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,42,2026-05-14T09:56:32.250999,2026-05-14T09:59:54.918014,202.667015
