persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,205,0.811,100.0,"889b1178-fd4a-4da2-b5d9-0ee7a74db00a,a00b8432-6b35-40df-85ae-5b865615f0a4,d584a464-e960-4e8f-b353-f546bb7ed67a,d9f08d47-6560-4123-8cc7-d7c394f11031,fa6c686b-a192-4b78-b2c2-1d438fad2eb2","Eastbound,Zone 1,eastbound",1500,2025-11-07T07:59:54.118094,2025-11-07T08:54:25.464812,3271.346718
6,CAM001,271,0.819,100.0,"889b1178-fd4a-4da2-b5d9-0ee7a74db00a,d584a464-e960-4e8f-b353-f546bb7ed67a,d9f08d47-6560-4123-8cc7-d7c394f11031","Eastbound,eastbound",407,2025-11-07T08:00:08.633802,2025-11-07T08:59:49.086536,3580.452734
7,CAM001,262,0.815,100.0,"889b1178-fd4a-4da2-b5d9-0ee7a74db00a,d584a464-e960-4e8f-b353-f546bb7ed67a,d9f08d47-6560-4123-8cc7-d7c394f11031","Eastbound,eastbound",62,2025-11-07T08:02:28.049836,2025-11-07T08:59:23.823050,3415.773214
2,CAM001,22,0.831,100.0,"889b1178-fd4a-4da2-b5d9-0ee7a74db00a,d584a464-e960-4e8f-b353-f546bb7ed67a,fa6c686b-a192-4b78-b2c2-1d438fad2eb2","Eastbound,Zone 1,eastbound",102,2025-11-07T08:15:09.297390,2025-11-07T08:28:43.904864,814.607474
3,CAM001,12,0.807,100.0,"889b1178-fd4a-4da2-b5d9-0ee7a74db00a,d584a464-e960-4e8f-b353-f546bb7ed67a","Eastbound,eastbound",106,2025-11-07T08:15:39.238810,2025-11-07T08:28:14.799054,755.560244
4,CAM001,32,0.8,100.0,d584a464-e960-4e8f-b353-f546bb7ed67a,eastbound,3,2025-11-07T08:17:06.118550,2025-11-07T08:17:08.278010,2.15946
5,CAM001,99,0.81,100.0,"889b1178-fd4a-4da2-b5d9-0ee7a74db00a,d584a464-e960-4e8f-b353-f546bb7ed67a","Eastbound,eastbound",3,2025-11-07T08:17:22.948102,2025-11-07T08:44:16.504605,1613.556503
9,CAM001,67,0.783,100.0,d584a464-e960-4e8f-b353-f546bb7ed67a,eastbound,2,2025-11-07T08:19:50.349473,2025-11-07T08:19:52.264557,1.915084
8,CAM001,264,0.781,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,22,2025-11-07T08:57:48.221589,2025-11-07T08:59:23.841844,95.620255
