persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,246,0.813,100.0,d9f08d47-6560-4123-8cc7-d7c394f11031,Eastbound,208,2025-11-07T07:46:08.032750,2025-11-07T07:59:55.063058,827.030308
2,CAM001,41,0.803,100.0,d9f08d47-6560-4123-8cc7-d7c394f11031,Eastbound,2,2025-11-07T07:46:19.021521,2025-11-07T07:46:19.953413,0.931892
4,CAM001,115,0.8,100.0,d9f08d47-6560-4123-8cc7-d7c394f11031,Eastbound,1,2025-11-07T07:51:10.163415,2025-11-07T07:51:10.163415,0.0
5,CAM001,152,0.796,100.0,d9f08d47-6560-4123-8cc7-d7c394f11031,Eastbound,5,2025-11-07T07:53:10.415893,2025-11-07T07:53:17.091830,6.675937
6,CAM001,237,0.841,100.0,d9f08d47-6560-4123-8cc7-d7c394f11031,Eastbound,13,2025-11-07T07:55:10.038151,2025-11-07T07:59:09.162285,239.124134
