persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
8,CAM002,39,1.813,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,28,2026-05-07T18:54:55.435787,2026-05-07T18:59:41.007895,285.572108
6,CAM002,56,1.871,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,42,2026-05-07T18:54:55.440787,2026-05-07T18:59:41.018894,285.578107
3,CAM002,58,1.784,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,34,2026-05-07T18:55:00.953568,2026-05-07T18:59:36.134512,275.180944
9,CAM002,58,1.772,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,29,2026-05-07T18:55:09.997372,2026-05-07T18:59:26.838603,256.841231
1,CAM002,49,1.812,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,39,2026-05-07T18:55:50.656605,2026-05-07T18:59:41.012894,230.356289
11,CAM002,52,1.811,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,29,2026-05-07T18:56:43.871804,2026-05-07T18:59:41.014893,177.143089
5,CAM002,1,1.866,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,33,2026-05-07T18:56:51.568602,2026-05-07T18:59:41.003929,169.435327
7,CAM002,55,1.922,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,35,2026-05-07T18:56:55.803503,2026-05-07T18:59:41.016894,165.213391
2,CAM002,47,1.91,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,30,2026-05-07T18:56:55.808502,2026-05-07T18:59:41.009893,165.201391
4,CAM002,46,1.676,100.0,7280927c-cbd0-410a-b029-945bdb6ca5d9,Zone 1,10,2026-05-07T18:56:55.810502,2026-05-07T18:59:18.292784,142.482282
