persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
6,CAM002,55,1.837,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,126,2025-11-18T12:59:58.086713,2025-11-18T13:57:15.096689,3437.009976
2,CAM002,85,1.878,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,394,2025-11-18T12:59:58.090310,2025-11-18T13:59:55.567679,3597.477369
3,CAM002,71,1.855,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,299,2025-11-18T12:59:58.093173,2025-11-18T13:59:55.562224,3597.469051
4,CAM002,90,1.791,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,265,2025-11-18T12:59:58.094898,2025-11-18T13:59:39.110982,3581.016084
8,CAM002,55,1.927,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,253,2025-11-18T12:59:58.096701,2025-11-18T13:59:55.555828,3597.459127
1,CAM002,57,1.925,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,303,2025-11-18T13:00:36.161355,2025-11-18T13:59:55.559297,3559.397942
7,CAM002,71,1.881,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,383,2025-11-18T13:00:40.973654,2025-11-18T13:59:16.771509,3515.797855
5,CAM002,76,1.895,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,243,2025-11-18T13:03:22.241100,2025-11-18T13:59:22.554103,3360.313003
9,CAM002,82,1.941,100.0,"3778898b-349e-4f75-8ea8-ae7872429588,ec790070-4835-4864-80a9-221ef0ed2582",Westbound,61,2025-11-18T13:04:56.369965,2025-11-18T13:59:55.563202,3299.193237
