id,persistent_id,camera_id,track_id,confidence,frame_id,in_geo_fence,fence_id,fence_name,timestamp,bbox_x,bbox_y,bbox_width,bbox_height
36947,3,CAM002,16,2.0042142707186223,1080,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:40.360833,223.0,203.0,57.0,154.0
36946,6,CAM001,31,1.8873125967991795,900,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:39.055598,514.0,150.0,37.0,96.0
36945,4,CAM001,25,1.955852179782675,900,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:39.053077,435.0,148.0,52.0,114.0
36944,2,CAM001,23,1.665462403796835,900,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:39.049080,506.0,149.0,51.0,146.0
36943,1,CAM001,21,2.035438360362277,900,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:39.045078,324.0,141.0,68.0,114.0
36942,3,CAM001,12,1.5883639186217622,900,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:39.040011,383.0,151.0,51.0,134.0
36941,3,CAM002,16,1.7398503516117563,1068,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:37.602305,224.0,201.0,58.0,158.0
36940,2,CAM002,16,2.0703309082298182,1056,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:35.278613,223.0,202.0,57.0,157.0
36939,4,CAM001,25,2.0586616762312464,888,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:33.946007,432.0,148.0,58.0,127.0
36938,1,CAM001,21,2.041172406310993,888,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:33.942998,322.0,139.0,69.0,118.0
36937,3,CAM001,12,2.0390179568974314,888,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:33.938482,381.0,149.0,51.0,136.0
36936,2,CAM002,16,1.98739453278604,1044,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:31.988235,222.0,201.0,60.0,158.0
36935,4,CAM001,25,2.056413116084046,876,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:30.524524,432.0,147.0,57.0,127.0
36934,1,CAM001,21,2.0684180539377746,876,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:30.521187,324.0,141.0,66.0,114.0
36933,3,CAM001,12,1.8324523427929131,876,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:30.515186,382.0,151.0,50.0,133.0
36932,3,CAM002,16,1.5470613788308074,1032,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:29.643085,223.0,201.0,62.0,158.0
36931,6,CAM001,31,1.8679267667244184,864,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:26.721742,514.0,153.0,33.0,96.0
36930,4,CAM001,25,2.058057024148729,864,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:26.718739,431.0,147.0,59.0,132.0
36929,1,CAM001,21,1.9874418460790622,864,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:26.715740,323.0,136.0,64.0,122.0
36928,3,CAM001,12,1.7317535441330185,864,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:26.712222,380.0,148.0,51.0,137.0
36927,3,CAM002,16,1.5172762349613085,1020,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:26.146188,226.0,201.0,62.0,157.0
36926,2,CAM002,20,1.9549679268028133,1008,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:23.191199,409.0,187.0,34.0,68.0
36925,3,CAM002,16,2.0517635311455833,1008,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:23.185190,227.0,201.0,59.0,154.0
36924,4,CAM001,25,2.017662395689717,852,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:21.500501,431.0,147.0,59.0,133.0
36923,1,CAM001,21,2.0683005252200344,852,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:21.496500,322.0,136.0,65.0,117.0
36922,2,CAM001,12,2.0670740174313202,852,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:21.490949,379.0,150.0,52.0,134.0
36921,3,CAM002,16,1.9910088041686995,996,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:20.145991,219.0,202.0,61.0,157.0
36920,4,CAM001,25,2.0688551855941792,840,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:18.036687,431.0,146.0,58.0,134.0
36919,1,CAM001,21,2.065051740194857,840,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:18.030156,323.0,137.0,64.0,117.0
36918,2,CAM001,12,2.024293391711123,840,True,b604818f-3395-4506-add4-ed6dca0ef4a6,Eastbound,2026-05-14 09:40:18.024153,379.0,151.0,50.0,133.0
36917,3,CAM002,16,2.0605478854393837,984,True,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,2026-05-14 09:40:15.956275,215.0,203.0,61.0,154.0
