persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM001,99,0.852,100.0,5401ea3e-3dfb-42d4-8800-d53b1045df6b,Zone 1,374,2025-11-09T18:31:07.756710,2025-11-09T18:39:29.343279,501.586569
2,CAM001,128,0.818,100.0,5401ea3e-3dfb-42d4-8800-d53b1045df6b,Zone 1,111,2025-11-09T18:36:56.713123,2025-11-09T18:42:57.472727,360.759604
3,CAM001,119,0.839,100.0,5401ea3e-3dfb-42d4-8800-d53b1045df6b,Zone 1,42,2025-11-09T18:41:06.894359,2025-11-09T18:42:21.533990,74.639631
4,CAM001,150,0.792,100.0,5401ea3e-3dfb-42d4-8800-d53b1045df6b,Zone 1,19,2025-11-09T18:43:11.214728,2025-11-09T18:44:42.473822,91.259094
5,CAM001,188,0.785,100.0,5401ea3e-3dfb-42d4-8800-d53b1045df6b,Zone 1,112,2025-11-09T18:43:16.046364,2025-11-09T18:48:29.391127,313.344763
6,CAM001,151,0.737,100.0,5401ea3e-3dfb-42d4-8800-d53b1045df6b,Zone 1,1,2025-11-09T18:44:39.393873,2025-11-09T18:44:39.393873,0.0
