persistent_id,cameras,behavior_types,max_severity,avg_confidence,first_behavior,last_behavior,total_behaviors,loitering_count
11,CAM001,loitering,medium,0.91,2026-01-28T19:23:44.604517,2026-01-28T19:23:44.604517,1,1
12,CAM001,loitering,medium,0.87,2026-01-28T19:15:46.986044,2026-01-28T19:15:46.986044,1,1
13,CAM001,loitering,medium,0.7,2026-01-28T19:17:01.893729,2026-01-28T19:17:01.893729,1,1
14,CAM001,loitering,medium,0.91,2026-01-28T19:23:44.582495,2026-01-28T19:23:44.582495,1,1
16,CAM001,loitering,medium,0.53,2026-01-28T19:23:44.626500,2026-01-28T19:23:44.626500,1,1
17,CAM001,loitering,medium,0.56,2026-01-28T18:55:07.683388,2026-01-28T18:55:07.683388,1,1
18,CAM001,loitering,medium,0.78,2026-01-28T18:56:44.251197,2026-01-28T18:56:44.251197,1,1
