id,persistent_id,camera_id,track_id,confidence,frame_id,in_geo_fence,fence_id,fence_name,timestamp,bbox_x,bbox_y,bbox_width,bbox_height
19518,7,CAM001,162,1.6079504134033213,3500,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:49.620990,257.0,258.0,51.0,65.0
19517,8,CAM001,161,2.0095882451671883,3500,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:49.617446,356.0,241.0,47.0,74.0
19516,9,CAM001,159,2.0191990577148458,3500,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:49.612429,284.0,250.0,112.0,94.0
19515,4,CAM001,151,2.021358424367222,3500,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:49.607893,387.0,244.0,96.0,98.0
19514,5,CAM001,146,2.0299116814551583,3500,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:49.603892,687.0,241.0,98.0,148.0
19513,10,CAM001,141,1.9969293263764365,3500,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:49.600884,169.0,244.0,102.0,90.0
19512,3,CAM001,138,1.78874453663899,3500,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:49.595409,519.0,250.0,91.0,128.0
19511,2,CAM001,134,2.026974986411795,3500,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:49.579979,606.0,248.0,71.0,115.0
19510,3,CAM002,132,1.7577403315544857,2740,True,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,2026-01-28 10:42:46.765806,569.0,354.0,91.0,147.0
19509,7,CAM002,126,1.6578418111998792,2740,True,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,2026-01-28 10:42:46.761799,251.0,360.0,134.0,167.0
19508,6,CAM002,125,2.022183872381925,2740,True,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,2026-01-28 10:42:46.759117,672.0,275.0,218.0,261.0
19507,1,CAM002,120,2.0334660142952234,2740,True,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,2026-01-28 10:42:46.753160,396.0,338.0,230.0,202.0
19506,8,CAM001,161,2.0171992622371793,3495,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:41.962056,359.0,243.0,43.0,72.0
19505,9,CAM001,159,2.0323441581147956,3495,True,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,2026-01-28 10:42:41.957979,286.0,250.0,108.0,93.0
