persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM002,22,1.908,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,40c38846-4a60-4d67-be6e-be029716b4cd,5073a8a2-cff6-4237-8104-d771fd7cc0f0,938e9c5e-8961-4c22-86cd-d7e2c5e016d5,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,311,2026-05-06T00:12:32.771744,2026-05-06T01:00:47.881812,2895.110068
2,CAM002,30,1.767,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,40c38846-4a60-4d67-be6e-be029716b4cd,5073a8a2-cff6-4237-8104-d771fd7cc0f0,938e9c5e-8961-4c22-86cd-d7e2c5e016d5,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,48,2026-05-06T00:21:31.360852,2026-05-06T01:01:15.067061,2383.706209
3,CAM002,35,1.753,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,5073a8a2-cff6-4237-8104-d771fd7cc0f0,938e9c5e-8961-4c22-86cd-d7e2c5e016d5,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,56,2026-05-06T00:21:59.850066,2026-05-06T01:01:17.285865,2357.435799
4,CAM002,128,1.87,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,5073a8a2-cff6-4237-8104-d771fd7cc0f0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,272,2026-05-06T00:22:26.596931,2026-05-06T00:58:44.703115,2178.106184
5,CAM002,128,1.931,100.0,"154d70e5-3b51-4c5d-a0ad-0c1375db44dc,5073a8a2-cff6-4237-8104-d771fd7cc0f0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1",Eastbound,185,2026-05-06T00:22:45.079516,2026-05-06T00:58:41.901697,2156.822181
6,CAM002,104,1.822,100.0,a0848e5a-58ce-402f-bc85-0fb1be53bbb1,Eastbound,12,2026-05-06T00:42:11.725240,2026-05-06T00:42:32.847590,21.12235
