journey_id,persistent_id,first_seen,last_seen,total_duration_seconds,total_behaviors,time_in_fence_seconds,time_outside_fence_seconds,is_active,cameras_visited,behavior_types
49,12,2026-01-28 18:46:50.982726,2026-01-28 19:09:18.959661,1347,1,345,0,False,"CAM001,CAM002",loitering
51,12,2026-01-28 18:46:50.982726,2026-01-28 19:15:46.974142,1735,2,466,0,False,"CAM001,CAM002",loitering
48,13,2026-01-28 18:46:50.984724,2026-01-28 18:58:59.123463,728,1,195,0,False,"CAM001,CAM002",loitering
52,13,2026-01-28 18:46:50.984724,2026-01-28 19:17:01.870767,1810,2,431,0,False,"CAM001,CAM002",loitering
46,14,2026-01-28 18:46:50.990777,2026-01-28 18:55:53.050130,542,1,141,0,False,"CAM001,CAM002",loitering
54,14,2026-01-28 18:46:50.990777,2026-01-28 19:23:44.553912,2213,2,581,0,True,"CAM001,CAM002",loitering
53,15,2026-01-28 18:46:54.708936,2026-01-28 19:17:32.805039,1838,1,451,0,False,"CAM001,CAM002",loitering
56,16,2026-01-28 18:47:01.397233,2026-01-28 19:23:44.568491,2203,1,517,0,True,"CAM001,CAM002",loitering
45,17,2026-01-28 18:47:01.398234,2026-01-28 18:55:07.664417,486,1,85,0,False,CAM001,loitering
47,18,2026-01-28 18:47:26.274714,2026-01-28 18:57:21.941748,595,2,183,0,False,"CAM001,CAM002",loitering
