persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
1,CAM002,120,1.488,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,1,2026-01-28T18:46:49.808647,2026-01-28T18:46:49.808647,0.0
6,CAM002,125,1.42,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,1,2026-01-28T18:46:49.812647,2026-01-28T18:46:49.812647,0.0
7,CAM002,126,1.454,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,1,2026-01-28T18:46:49.814650,2026-01-28T18:46:49.814650,0.0
3,CAM002,132,1.451,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,1,2026-01-28T18:46:49.819168,2026-01-28T18:46:49.819168,0.0
9,CAM002,151,1.484,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,1,2026-01-28T18:46:49.821175,2026-01-28T18:46:49.821175,0.0
13,CAM002,172,1.8,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,111,2026-01-28T18:46:54.705419,2026-01-28T18:59:43.335735,768.630316
15,CAM002,120,1.811,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,102,2026-01-28T18:46:54.708936,2026-01-28T18:59:38.506146,763.79721
12,CAM002,165,1.849,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,58,2026-01-28T18:46:54.711936,2026-01-28T18:58:06.896228,672.184292
11,CAM002,173,1.809,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,114,2026-01-28T18:46:54.713938,2026-01-28T18:59:52.586096,777.872158
14,CAM002,126,1.823,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,122,2026-01-28T18:46:54.717462,2026-01-28T18:59:52.582193,777.864731
18,CAM002,132,1.76,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,116,2026-01-28T18:49:10.644495,2026-01-28T18:59:52.585094,641.940599
16,CAM002,175,1.789,100.0,8b9846a8-d4ff-4584-8387-7714d0f8f8d8,Westbound,26,2026-01-28T18:49:46.460572,2026-01-28T18:59:52.588093,606.127521
