persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
2,CAM001,22,0.825,100.0,"889b1178-fd4a-4da2-b5d9-0ee7a74db00a,fa6c686b-a192-4b78-b2c2-1d438fad2eb2","Eastbound,Zone 1",40,2025-11-07T08:26:27.711679,2025-11-07T08:28:43.904864,136.193185
1,CAM001,205,0.811,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,"Eastbound,Zone 1",1341,2025-11-07T08:27:39.467634,2025-11-07T08:54:25.464812,1605.997178
3,CAM001,12,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T08:28:14.799054,2025-11-07T08:28:14.799054,0.0
5,CAM001,99,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,2,2025-11-07T08:44:15.882107,2025-11-07T08:44:16.504605,0.622498
6,CAM001,460,0.817,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,581,2025-11-07T08:48:21.210378,2025-11-07T09:12:27.978881,1446.768503
7,CAM001,262,0.814,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,59,2025-11-07T08:57:30.629151,2025-11-07T08:59:23.823050,113.193899
8,CAM001,264,0.781,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,22,2025-11-07T08:57:48.221589,2025-11-07T08:59:23.841844,95.620255
9,CAM001,314,0.793,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,6,2025-11-07T09:03:22.042111,2025-11-07T09:03:25.449003,3.406892
10,CAM001,321,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:03:32.083232,2025-11-07T09:03:32.083232,0.0
11,CAM001,322,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:03:35.496867,2025-11-07T09:03:35.496867,0.0
13,CAM001,371,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:07:14.497852,2025-11-07T09:07:14.497852,0.0
14,CAM001,373,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:07:24.792336,2025-11-07T09:07:24.792336,0.0
15,CAM001,376,0.784,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,23,2025-11-07T09:07:29.234494,2025-11-07T09:07:47.421255,18.186761
16,CAM001,381,0.791,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,4,2025-11-07T09:07:52.211723,2025-11-07T09:07:54.208923,1.9972
17,CAM001,386,0.799,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,2,2025-11-07T09:07:58.631854,2025-11-07T09:07:59.469147,0.837293
18,CAM001,387,0.788,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,22,2025-11-07T09:08:02.507651,2025-11-07T09:08:20.535768,18.028117
19,CAM001,396,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,2,2025-11-07T09:08:43.693362,2025-11-07T09:08:44.533836,0.840474
20,CAM001,398,0.751,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,2,2025-11-07T09:08:51.406570,2025-11-07T09:08:52.168446,0.761876
21,CAM001,414,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:09:40.698788,2025-11-07T09:09:40.698788,0.0
22,CAM001,418,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:09:45.005589,2025-11-07T09:09:45.005589,0.0
23,CAM001,419,0.777,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:09:52.735784,2025-11-07T09:09:52.735784,0.0
24,CAM001,420,0.801,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,6,2025-11-07T09:09:57.151222,2025-11-07T09:10:02.067483,4.916261
25,CAM001,435,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:10:48.899484,2025-11-07T09:10:48.899484,0.0
26,CAM001,437,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,2,2025-11-07T09:10:54.604591,2025-11-07T09:10:55.475647,0.871056
28,CAM001,444,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:11:03.603338,2025-11-07T09:11:03.603338,0.0
29,CAM001,445,0.778,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,6,2025-11-07T09:11:06.216001,2025-11-07T09:11:11.419126,5.203125
30,CAM001,494,0.807,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,23,2025-11-07T09:12:38.100294,2025-11-07T09:24:11.130848,693.030554
31,CAM001,465,0.8,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:13:09.514145,2025-11-07T09:13:09.514145,0.0
32,CAM001,469,0.792,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,4,2025-11-07T09:13:13.249814,2025-11-07T09:15:10.727965,117.478151
33,CAM001,468,0.788,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:13:20.874402,2025-11-07T09:13:20.874402,0.0
34,CAM001,470,0.865,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,22,2025-11-07T09:15:13.552929,2025-11-07T09:15:32.969752,19.416823
35,CAM001,476,0.87,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:21:10.675951,2025-11-07T09:21:10.675951,0.0
36,CAM001,492,0.85,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,1,2025-11-07T09:23:27.265554,2025-11-07T09:23:27.265554,0.0
37,CAM001,496,0.838,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,2,2025-11-07T09:24:21.665906,2025-11-07T09:24:22.505803,0.839897
38,CAM001,508,0.829,100.0,889b1178-fd4a-4da2-b5d9-0ee7a74db00a,Eastbound,29,2025-11-07T09:25:10.316021,2025-11-07T09:26:26.885568,76.569547
