persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
3,CAM002,148,1.884,100.0,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,569,2026-05-14T09:37:35.011202,2026-05-14T10:22:32.132915,2697.121713
2,CAM002,149,1.904,100.0,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,582,2026-05-14T09:38:07.248050,2026-05-14T10:23:52.683271,2745.435221
1,CAM002,121,1.891,100.0,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,567,2026-05-14T09:38:16.809414,2026-05-14T10:23:58.837672,2742.028258
4,CAM002,152,1.867,100.0,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,760,2026-05-14T09:38:22.687284,2026-05-14T10:23:58.844192,2736.156908
6,CAM002,146,1.971,100.0,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,648,2026-05-14T09:45:38.300096,2026-05-14T10:23:58.839671,2300.539575
5,CAM002,147,1.911,100.0,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,500,2026-05-14T09:46:50.704866,2026-05-14T10:23:58.841671,2228.136805
7,CAM002,105,1.893,100.0,ce474060-0953-4f27-b37e-72372098e3e5,Westbound,507,2026-05-14T09:56:29.004342,2026-05-14T10:23:58.833653,1649.829311
