persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
6,CAM002,14,1.793,100.0,bfc69e0e-811f-4338-a27c-ce559e03c5e3,Westbound,12,2026-01-29T02:20:29.740686,2026-01-29T02:22:29.190454,119.449768
4,CAM002,6,1.636,100.0,bfc69e0e-811f-4338-a27c-ce559e03c5e3,Westbound,19,2026-01-29T02:20:29.748685,2026-01-29T02:22:58.893094,149.144409
2,CAM002,17,1.684,100.0,bfc69e0e-811f-4338-a27c-ce559e03c5e3,Westbound,8,2026-01-29T02:20:59.088587,2026-01-29T02:23:09.989508,130.900921
5,CAM002,14,1.702,100.0,bfc69e0e-811f-4338-a27c-ce559e03c5e3,Westbound,14,2026-01-29T02:20:59.092559,2026-01-29T02:23:09.981510,130.888951
1,CAM002,12,1.774,100.0,bfc69e0e-811f-4338-a27c-ce559e03c5e3,Westbound,20,2026-01-29T02:21:06.850002,2026-01-29T02:23:09.979509,123.129507
7,CAM002,16,1.74,100.0,bfc69e0e-811f-4338-a27c-ce559e03c5e3,Westbound,10,2026-01-29T02:21:32.141723,2026-01-29T02:23:09.986508,97.844785
3,CAM002,6,1.79,100.0,bfc69e0e-811f-4338-a27c-ce559e03c5e3,Westbound,15,2026-01-29T02:21:43.570266,2026-01-29T02:23:09.976508,86.406242
